ID,Location Name,Type,Faction Control,Security Level,Valid Origin,Valid Destination,Description,Related Locations,Required Clearance,Contraband Inspection,Known For,Environmental Hazards
LOC001,Imperium Ultimatium Base,Military Base,Imperium,Maximum,FALSE,TRUE,Primary imperial fortress and   headquarters of regional operations,"Imperium Naval Base, Imperium Academy",Alpha-class,Mandatory,"Command center, Security operations",None
LOC002,Imperium Naval Base,Military Base,Imperium,High,TRUE,TRUE,Standard imperial military   facility with shipyard and training grounds,"Starkiller Base, Imperium Shipyard Alpha",Beta-class,Regular,"Officer training, Ship maintenance",None
LOC003,Imperium Academy,Training Facility,Imperium,High,TRUE,TRUE,Educational and training   complex for imperial personnel,"Imperium Naval Base, Central Command",Beta-class,Regular,"Elite   education, Loyalty training",None
LOC004,Imperium Shipyard Alpha,Manufacturing,Imperium,High,TRUE,TRUE,Major ship construction and    repair facility,"Imperium Naval Base, Orbital Defense Station",Beta-class,Regular,"Ship construction,   Weapons testing",Industrial accidents
LOC005,Central Galactic Command,Administrative,Imperium,Maximum,TRUE,TRUE,Bureaucratic center for   imperial operations,"Starkiller Base, Imperium Academy",Alpha-class,Mandatory,"Strategic planning, Data   storage",None
LOC006,Orbital Defense Station,Military,Imperium,High,TRUE,TRUE,Space-based defensive platform   protecting imperial interests,"Imperium Shipyard Alpha, Starkiller Base",Beta-class,Regular,"Tactical   response, Patrol dispatch",Radiation
LOC007,Trading Outpost,Commercial,Neutral,Low,TRUE,TRUE,Independent commerce hub frequented by   various factions,"Commerce Hub, Neutral Spaceport",None,Random,"Marketplace, Information exchange",None
LOC008,Neutral Spaceport,Transportation,Neutral,Medium,TRUE,TRUE,Civilian transport hub with   strict neutrality policies,"Trading Outpost, Independent Colony",Standard,Regular,"Passenger services,   Refueling",None
LOC009,Commerce Hub,Commercial,Trade Union,Medium,TRUE,TRUE,Corporate-controlled trade center   with extensive market,"Trading Outpost, Corporate Sector",Business,Regular,"Luxury goods, Financial   services",None
LOC010,Outer Rim,Region,Contested,Low,TRUE,FALSE,Lawless frontier regions beyond effective   imperial control,"Independent Colony, Lawless Sectors",None,None,"Smuggling, Freedom from oversight",Various
LOC011,Independent Colony,Settlement,Neutral,Low,TRUE,TRUE,Self-governed planetary settlement   with minimal faction allegiance,"Outer Rim, Neutral Spaceport",None,Random,"Cultural diversity,   Independence",Various
LOC012,Insurgent Base,Military,Insurgent,High,TRUE,FALSE,Hidden revolutionary stronghold   coordinating anti-imperial activities,"Hidden Outpost, Resistance Hideout",Insurgent,Strict,"Resistance   planning, Recruitment",Security measures
LOC013,Hidden Outpost,Military,Insurgent,Medium,TRUE,FALSE,Small concealed facility supporting   insurgent operations,"Insurgent Base, Deep Space Rendezvous",Insurgent,Minimal,"Intelligence gathering,   Supply storage",Remote location
LOC014,Resistance Hideout,Safehouse,Insurgent,Medium,TRUE,FALSE,Urban or wilderness safehouse   for insurgent operatives,"Hidden Outpost, Insurgent Base",Insurgent,Minimal,"Covert operations, Safe   passage",Security measures
LOC015,Deep Space Rendezvous,Coordination,Insurgent,Medium,TRUE,FALSE,Mobile meeting point for   insurgent fleet coordination,"Insurgent Shipyard, Hidden Base",Insurgent,Minimal,"Fleet coordination,   Intelligence sharing",Detection risk
LOC016,Unknown,Region,Neutral,High,FALSE,FALSE,"Hidden systems used by bounty hunters, pirates and automated systems","Outer Rim, Neutral Spaceport",Business,Mandatory,Hiding people and goods,Radiation
